ags,breitbandversorgung50MbitsProzent,breitbandversorgung100MbitsProzent,breitbandversorgung1000MbitsProzent
01001000,99.07,98.44,96.31
01002000,99.05,98.3,90.42
01003000,98.61,97.61,92.63
01004000,98.78,97.92,96.06
01051001,96.15,86.06,0.06
01051002,71.28,70.21,1.06
01051003,93.91,93.91,93.91
01051004,78.16,53.85,0.0
01051005,2.44,0.0,0.0
01051006,71.35,58.48,0.0
01051008,0.0,0.0,0.0
01051010,84.78,81.52,73.91
01051011,94.85,92.27,71.7
01051012,86.91,83.75,81.04
01051013,99.2,97.64,79.1
01051014,99.61,98.43,34.9
01051015,83.58,56.72,0.3
01051016,93.56,89.8,53.8
01051017,0.72,0.72,0.72
01051019,2.38,1.02,1.02
01051020,94.07,72.32,0.0
01051021,69.46,63.78,47.3
01051022,67.37,34.74,0.0
01051023,72.43,41.54,0.74
01051024,92.08,88.78,80.03
01051026,94.97,94.08,94.08
01051027,57.66,52.99,0.26
01051028,65.18,41.37,0.3
01051030,0.84,0.0,0.0
01051032,97.01,94.01,94.01
01051033,6.67,6.67,6.67
01051034,100.0,100.0,100.0
01051035,1.25,0.0,0.0
01051036,1.96,0.0,0.0
01051037,92.06,92.06,92.06
01051038,6.98,4.65,4.65
01051039,83.04,60.82,0.0
01051043,11.57,7.44,1.65
01051044,98.39,96.9,85.67
01051045,27.38,7.14,0.0
01051046,78.3,70.57,30.92
01051047,1.22,0.0,0.0
01051048,92.75,83.82,1.22
01051049,75.95,63.27,0.0
01051050,17.02,2.13,0.0
01051051,93.02,87.79,81.98
01051052,0.0,0.0,0.0
01051053,1.46,0.0,0.0
01051054,20.0,2.5,2.5
01051057,98.2,98.2,98.2
01051058,3.39,1.69,1.69
01051060,1.94,0.49,0.49
01051061,69.69,48.43,0.0
01051062,98.88,98.88,98.88
01051063,1.8,1.35,1.35
01051064,96.15,93.36,93.01
01051065,87.7,79.56,29.56
01051067,98.73,84.18,0.0
01051068,79.33,60.61,0.28
01051069,97.55,91.38,35.53
01051071,98.91,93.45,77.67
01051072,99.43,98.16,87.58
01051073,100.0,98.82,98.82
01051074,97.45,90.53,63.02
01051075,62.86,50.97,0.49
01051076,66.29,48.11,21.97
01051077,58.54,51.22,48.78
01051078,92.4,67.76,0.62
01051079,90.95,88.1,0.95
01051080,83.05,64.41,0.0
01051081,2.63,0.88,0.88
01051082,82.24,69.73,0.56
01051083,91.49,76.6,0.0
01051084,48.18,11.82,7.27
01051085,2.24,1.49,1.49
01051086,3.85,0.0,0.0
01051087,99.24,85.5,28.24
01051088,87.02,74.04,5.48
01051089,92.08,92.08,92.08
01051090,1.49,0.0,0.0
01051092,2.07,0.0,0.0
01051093,91.1,67.54,0.52
01051096,9.49,0.0,0.0
01051097,87.8,76.92,0.25
01051098,91.57,70.06,0.0
01051099,86.13,81.73,28.93
01051100,85.82,76.12,0.0
01051102,1.85,0.0,0.0
01051103,22.62,19.05,0.0
01051104,0.0,0.0,0.0
01051105,66.09,59.13,0.43
01051107,6.7,3.61,0.0
01051108,3.92,0.0,0.0
01051109,95.75,78.3,0.47
01051110,94.92,94.92,94.92
01051113,66.05,52.7,0.68
01051114,86.41,73.31,0.24
01051117,1.94,0.97,0.97
01051118,32.68,32.03,32.03
01051119,7.1,6.45,0.0
01051120,10.53,0.0,0.0
01051121,96.79,86.1,0.0
01051122,92.91,81.44,1.75
01051125,1.64,0.0,0.0
01051126,21.05,5.26,2.63
01051127,98.1,93.73,40.75
01051128,32.39,1.41,0.0
01051129,7.1,1.18,0.59
01051130,93.22,86.75,74.25
01051131,94.12,86.27,0.0
01051132,78.04,69.66,0.2
01051133,3.08,0.0,0.0
01051134,74.18,52.52,0.0
01051135,91.5,67.97,0.0
01051136,73.78,64.27,0.58
01051137,34.25,25.34,1.03
01051138,82.8,68.46,0.0
01051139,5.22,3.73,3.73
01051140,25.44,16.67,1.75
01051141,96.19,88.14,0.0
01053001,97.06,97.06,97.06
01053002,99.49,96.45,91.12
01053003,98.08,95.25,88.4
01053004,100.0,100.0,100.0
01053005,100.0,100.0,100.0
01053006,98.11,98.11,98.11
01053007,97.35,95.77,95.24
01053008,95.15,95.15,95.15
01053009,97.97,97.97,97.97
01053010,95.12,95.12,92.68
01053011,97.91,97.91,97.91
01053012,92.47,83.99,35.99
01053013,100.0,100.0,100.0
01053014,99.03,99.03,99.03
01053015,9.23,7.69,0.77
01053016,100.0,100.0,100.0
01053017,95.95,95.95,95.95
01053018,94.44,94.44,94.44
01053019,81.4,70.93,69.77
01053020,94.59,93.21,88.45
01053021,100.0,100.0,100.0
01053022,94.25,94.25,94.25
01053023,100.0,100.0,100.0
01053024,100.0,100.0,100.0
01053025,100.0,100.0,100.0
01053026,98.08,96.15,94.23
01053027,100.0,100.0,100.0
01053028,97.42,96.6,93.83
01053029,99.52,99.52,97.6
01053030,88.0,88.0,84.0
01053031,100.0,100.0,100.0
01053032,99.31,99.09,96.46
01053033,94.44,94.44,94.44
01053034,100.0,100.0,100.0
01053035,100.0,100.0,100.0
01053036,95.52,88.81,47.76
01053037,98.56,98.08,95.19
01053038,100.0,100.0,100.0
01053039,100.0,100.0,100.0
01053040,90.48,90.48,90.48
01053041,98.94,97.94,97.55
01053042,100.0,100.0,100.0
01053043,98.04,98.04,98.04
01053044,99.17,99.17,99.17
01053045,100.0,100.0,100.0
01053046,99.25,99.13,99.13
01053047,99.65,94.46,91.18
01053048,100.0,100.0,100.0
01053049,100.0,100.0,99.57
01053050,98.63,96.71,95.62
01053051,100.0,99.18,99.18
01053052,98.73,98.73,98.73
01053053,99.14,96.12,94.83
01053054,100.0,100.0,100.0
01053056,96.88,95.83,95.83
01053057,100.0,100.0,100.0
01053058,100.0,100.0,100.0
01053059,100.0,100.0,100.0
01053060,97.2,96.4,96.0
01053061,99.19,98.98,98.98
01053062,97.89,97.89,97.89
01053064,77.42,42.29,1.79
01053066,99.12,99.12,99.12
01053067,99.22,96.5,96.5
01053068,99.61,99.61,99.61
01053069,100.0,100.0,100.0
01053070,98.25,98.25,98.25
01053071,97.7,96.55,94.25
01053072,100.0,100.0,100.0
01053073,99.32,99.32,99.32
01053074,98.85,97.7,93.1
01053075,99.04,99.04,99.04
01053076,99.02,99.02,99.02
01053077,100.0,100.0,100.0
01053078,97.92,95.83,95.83
01053079,100.0,100.0,100.0
01053080,6.06,6.06,1.52
01053081,99.53,99.53,99.53
01053082,95.07,94.37,94.37
01053083,99.57,98.91,92.33
01053084,100.0,100.0,100.0
01053085,100.0,100.0,100.0
01053086,100.0,100.0,100.0
01053087,89.18,89.18,89.18
01053088,100.0,97.8,95.6
01053089,100.0,100.0,100.0
01053090,99.4,98.93,90.66
01053091,100.0,100.0,100.0
01053092,89.83,79.9,44.31
01053093,99.69,99.69,99.39
01053094,100.0,100.0,100.0
01053095,99.65,99.65,99.65
01053096,99.4,98.21,98.01
01053097,97.78,94.62,80.06
