baseRent,livingSpace,noRooms,condition,interiorQual,lift,typeOfFlat,telekomUploadSpeed,floor,garden,heatingType,yearConstructed,lon,lat
640.0,86.0,3,5,2.0,0,3.0,40.0,4,0,2,1910,8.3557729,49.6328164
151.0,29.47,1,1,2.0,0,2.5008447819779844,40.0,1,0,4,1909,12.9502943,50.8305893
420.3,70.05,3,1,2.414155260346322,0,2.0,10.0,2,0,9,1975,9.94736525543646,53.7497877
275.0,50.85,2,1,2.414155260346322,0,2.5008447819779844,40.0,3,0,2,1998,13.309639,51.2974028
330.0,59.81,2,1,2.0,0,2.0,40.0,1,0,1,1990,10.2691247,51.5125692
435.0,67.0,3,1,2.0,0,6.0,10.0,1,1,1,1888,12.4131593,51.3327626
450.0,21.44,1,2,3.0,0,3.0,10.0,5,0,2,1957,6.788873261167055,51.215838950000006
410.0,65.0,2,5,2.414155260346322,0,6.0,40.0,0,1,4,1913,7.1398610784605205,51.2643229
292.0,58.54,3,1,2.414155260346322,0,2.0,40.0,3,0,2,1962,12.6661777,51.4716487
900.0,83.0,3,5,2.0,0,1.0,40.0,0,1,6,1975,8.141557313483009,50.1305568
340.0,60.0,2,4,2.414155260346322,0,5.0,1.0,1,1,2,1994,7.5279405,50.5847582
320.0,54.0,2,1,2.414155260346322,0,2.5008447819779844,2.4,1,0,2,1997,7.2817355,50.5058552
275.0,54.0,2,1,2.414155260346322,0,6.0,2.4,1,1,2,1905,12.8862345,50.8305951
1063.0,66.0,2,5,3.0,0,6.0,5.0,1,1,3,1946,8.71950822069354,50.15902955
375.0,54.5,2,5,2.0,0,2.0,40.0,3,1,2,1888,12.359541949153666,51.36299895
1775.0,74.0,2,6,3.0,1,1.0,40.0,0,1,1,1890,11.598537713896809,48.1292921
158.0,34.0,1,5,2.0,1,2.5008447819779844,40.0,4,0,2,1974,12.082451,50.8935537
360.0,43.85,2,1,2.0,0,3.0,40.0,3,0,2,1997,13.701681922873238,51.0407275
1350.0,150.0,5,7,3.0,0,2.0,40.0,1,0,2,1969,8.6576311,50.0206692
340.0,47.0,2,7,2.0,0,2.0,40.0,3,0,4,1970,10.5035671,52.2235027
360.0,46.0,2,1,2.0,0,2.0,40.0,3,0,2,1925,12.3201366,51.3466284
620.0,51.8,2,3,2.0,0,6.0,40.0,0,0,2,1905,10.114923750000004,54.31535095
231.9,56.56,2,5,2.414155260346322,0,2.5008447819779844,40.0,4,0,1,1985,14.98145256250912,51.1640481
1100.0,104.0,3,1,4.0,0,1.0,2.4,0,1,1,1994,6.8662073,50.882792
243.0,48.55,3,7,2.414155260346322,0,3.0,2.4,3,0,2,1946,12.55653860506949,51.1650789
1390.0,100.0,2,2,3.0,0,1.0,40.0,1,1,7,2019,7.6896765,51.9946466
690.0,98.0,3,1,3.0,0,3.0,2.4,3,1,10,1979,7.249115,51.3749317
1590.0,62.0,2,4,4.0,0,7.0,40.0,3,0,10,1900,9.1735408,48.7545627
529.0,78.27,4,1,2.414155260346322,0,2.0,40.0,2,0,2,1910,12.307025867055806,51.3328263
545.0,54.0,2,4,2.0,1,1.0,40.0,0,0,6,2018,8.554684344591484,50.856820850000005
161.0,39.26,2,4,2.0,0,2.0,2.4,4,0,1,1989,12.8774733,50.7821096
619.0,91.0,3,7,2.414155260346322,1,2.0,40.0,8,0,2,1968,13.3299647,52.6096403
293.25,51.0,2,1,2.414155260346322,0,2.0,40.0,1,0,1,1957,7.049832644753494,51.6057139
320.0,52.15,2,6,2.0,0,2.0,40.0,2,1,2,1998,12.3374851,51.4478388
411.5,57.51,2,6,2.0,0,2.0,40.0,1,0,9,1957,12.152316949999996,49.6824223
459.0,71.0,3,3,2.0,0,2.0,2.4,2,0,2,1962,8.4715689,51.9825664
1100.0,81.0,3,1,2.0,0,9.0,40.0,0,0,2,2004,9.314250505967127,48.8313331
1270.0,98.23,3,2,2.414155260346322,1,3.0,40.0,3,0,2,2019,12.9782723,47.8349779
460.0,59.81,2,4,3.0,0,2.5008447819779844,40.0,2,0,7,1900,12.32363667371338,51.319684800000005
254.42,55.69,2,1,2.414155260346322,0,2.0,40.0,3,0,2,1996,9.548137158882083,51.34043265
739.0,112.0,4,5,3.0,0,2.0,10.0,1,0,4,1975,7.343959537910368,51.6568142
665.04,77.33,3,3,3.0,1,4.0,40.0,4,0,7,1900,12.4113337,51.3310114
346.0,60.87,3,6,2.414155260346322,1,2.0,2.4,4,0,1,1987,11.3147462,51.4787853
348.0,46.75,2,3,3.0,0,6.0,10.0,0,1,2,1929,12.9476823,50.8321267
900.0,75.0,3,1,3.0,1,2.0,2.4,1,0,2,1990,11.003626613468358,49.4699092
420.0,70.0,2,8,2.0,0,2.0,2.4,2,0,2,1950,10.1801902,52.4162279
1548.0,103.2,3,6,3.0,1,2.0,2.4,3,0,7,1915,13.3207941,52.5127285
382.95,74.36,1,1,2.414155260346322,0,3.0,40.0,2,0,2,1958,12.987655159604074,52.9704219
529.41,62.74,2,1,2.414155260346322,0,2.0,40.0,3,0,10,1936,13.3439789,52.4364761
386.0,64.0,3,3,2.414155260346322,0,2.0,40.0,2,0,2,1958,10.538037099769582,52.966461
245.0,20.0,1,1,2.0,1,2.0,2.4,3,1,2,1996,6.0981959,50.7840495
358.0,70.0,2,6,2.0,0,1.0,40.0,1,1,4,1920,13.8712371,50.9705869
320.0,33.0,1,1,2.414155260346322,0,5.0,40.0,1,0,2,1999,12.7052218,48.6665177
500.0,70.0,2,3,2.0,0,5.0,10.0,0,0,2,1978,8.4376647,50.0012525
450.0,75.0,2,1,2.0,0,1.0,40.0,0,0,10,1920,9.569618726045524,54.5168371
285.81,60.81,3,9,2.0,0,2.0,40.0,4,0,1,1986,13.4070456,54.081061
