agskey,buildingPermits,landPrices,householdIncome2019,consumerInsolvencies
01001,4.4,223.30149367088606,1588.66,0.88
01002,5.7,519.38,1659.68,0.64
01003,3.25,175.59,1755.01,0.68
01004,3.2,136.71,1640.46,1.41
01051,7.03,63.24,1997.36,0.98
01053,6.94,114.78,2290.47,0.72
01054,7.79,100.11,2213.29,0.72
01055,5.63,159.76,2023.76,0.54
01056,4.61,190.44,2113.69,1.08
01057,5.2,116.47,1999.51,0.81
01058,3.77,104.98,2034.36,0.69
01059,7.44,92.29,1950.33,1.37
01060,5.61,144.24,1999.75,0.49
01061,3.07,85.51,1905.53,0.67
01062,4.97,222.94,2203.41,0.32
02000,5.13,1144.16,2147.14,0.56
03101,2.33,370.3,1937.82,0.86
03102,1.26,159.4,1708.35,1.64
03103,5.0,264.98,2098.63,0.6
03151,6.54,91.21,2035.44,0.48
03153,1.46,64.9,1833.55,0.88
03154,2.34,48.29,2009.02,1.12
03155,2.34,57.98,1920.51,1.31
03157,4.14,110.56,1901.13,1.01
03158,2.78,169.88,1951.88,0.8
03159,3.55,78.37,1823.36,0.77
03241,3.64,227.54,1871.46,1.16
03251,2.97,88.0,2045.29,0.52
03252,1.7,49.65,1905.4,1.0
03254,2.46,90.52,1860.59,0.98
03255,0.87,42.23,1841.99,1.22
03256,4.46,55.28,1851.16,1.58
03257,2.59,49.49,1903.62,1.08
03351,3.68,66.36,1805.38,1.21
03352,4.66,49.88,1951.89,1.18
03353,6.76,155.69,2211.69,1.01
03354,3.01,16.92,1810.18,1.34
03355,2.88,129.0,1849.0,1.14
03356,2.26,76.22,1997.53,0.57
03357,4.55,59.8,1976.76,0.95
03358,5.49,57.48,1830.55,1.42
03359,5.76,102.88,1989.83,0.9
03360,3.22,43.98,1843.45,1.29
03361,2.3,115.73,2043.46,0.79
03401,3.63,223.30149367088606,1665.54,1.55
03402,2.07,223.30149367088606,1645.72,2.53
03403,7.01,418.7,1735.02,1.12
03404,3.763725,272.58,1829.77,1.57
03405,0.61,223.30149367088606,1589.47,1.67
03451,6.04,126.83,1934.37,0.61
03452,4.8,95.6,1802.17,0.9
03453,9.25,93.68,1849.77,1.25
03454,7.78,53.22,1891.81,0.93
03455,5.12,91.62,1844.45,1.01
03456,6.72,90.67,1783.81,0.32
03457,4.41,70.22,1703.9,0.95
03458,4.73,138.06,2021.89,0.72
03459,4.66,93.91,1996.3,0.87
03460,6.63,143.85,2008.57,0.87
03461,3.3,65.82,1903.93,0.62
03462,5.8,56.85,1862.05,1.18
04011,2.73,266.69,1886.67,0.91
04012,1.66,85.36,1549.09,2.16
05111,4.13,1278.67,2261.91,0.42
05112,1.6,181.95,1478.26,1.06
05113,1.62,250.32,1764.54,0.82
05114,0.25,212.31,1858.99,0.7
05116,2.5,241.93,1811.55,0.98
05117,2.98,674.2,1987.89,0.52
05119,1.21,139.43,1613.9,1.42
05120,1.29,119.45,1947.18,1.28
05122,3.39,336.5,2014.79,0.58
05124,0.4,245.5,1819.65,0.92
05154,3.97,122.04,1794.29,0.67
05158,2.02,319.56,2194.69,0.76
05162,3.35,197.9,2172.28,0.54
05166,2.18,185.56,2001.34,0.49
05170,2.53,143.97,1928.08,0.63
05314,2.84,413.65,1978.61,0.29
05315,2.83,520.68,1942.91,0.72
05316,2.04,247.81,1890.9,0.81
05334,3.48,146.88,1758.68,0.92
05358,5.26,114.69,1830.59,0.52
05362,3.72,202.65,1950.43,0.85
05366,5.37,95.75,1891.81,0.56
05370,5.47,135.3,1778.02,0.48
05374,2.45,93.33,2015.97,0.53
05378,3.7,287.45,2271.94,0.5
