PLZ,AGS
47551,05154
52477,05334
52159,05334
52156,05334
52152,05334
52382,05358
54298,07232
47506,05170
54647,07232
54316,07235
47139,05112
50259,05362
40468,05111
54552,07233
40470,05111
40599,05111
54413,07235
45475,05117
50739,05315
66636,10046
66117,10041
50968,05315
56825,07135
53125,05314
55767,07134
48720,05558
79822,08315
35759,06532
76437,08216
49143,03459
26122,03403
76532,08211
79790,08337
55252,06414
76764,07334
35684,06532
76189,08212
67577,07331
26936,03461
67365,07334
59557,05974
27801,03458
59602,05974
67117,07338
57614,07132
56307,07138
66862,07335
55596,07133
56337,07143
67732,07335
56348,07141
67759,07333
79429,08336
56349,07141
67697,07335
49497,05566
56132,07141
65391,07141
57627,07143
57520,07143
49536,05566
67808,07333
67693,07335
67728,07333
59469,05974
57520,07143
65582,07141
65626,07141
67468,07335
55578,07331
59519,05974
59823,05958
57234,05970
67308,07333
77787,08317
67157,07332
26903,03454
26465,03462
66504,07340
56323,07137
58515,05962
48159,05515
56743,07137
55776,07134
55483,07134
56751,07137
24783,01058
73054,08117
73113,08117
36277,06632
88471,08426
37120,03159
30629,03241
29649,03358
88260,08436
31137,03254
24399,01059
73566,08136
37075,03159
97657,09673
20359,02000
73434,08136
97647,09673
23812,01060
24113,01002
73433,08136
97534,09678
22159,02000
89520,08135
99819,16063
89168,08135
99819,16063
37197,03159
87779,09778
87752,09778
89567,08135
89428,09773
24638,01060
98639,16066
38644,03153
89358,09774
24238,01057
86735,09779
96160,09675
89365,09774
22946,01062
87742,09778
91463,09575
38114,03101
67061,07314
32361,05770
33154,05774
35585,06532
64683,06431
78662,08325
75196,08236
75045,08215
33161,05774
69469,08226
28719,04011
27616,03352
60594,06412
61118,06440
33175,05774
61206,06440
27245,03251
63150,06438
32429,05770
32547,05770
64395,06437
64853,06432
31595,03256
71069,08115
25774,01051
71106,08115
28325,04011
21785,03352
27412,03357
71739,08118
74252,08125
35279,06534
63679,06535
25866,01054
31719,03257
25785,01051
70806,08118
63768,09671
71640,08118
74731,08225
63857,09671
71332,08119
31867,03257
74736,08225
73230,08116
91459,09575
91622,09571
38162,03158
38319,03158
38165,03154
29389,03360
91737,09571
91586,09571
86685,09779
96188,09674
86485,09772
99100,16067
86925,09181
96190,09674
86507,09772
86179,09761
91336,09474
06493,15085
90441,09564
24867,01059
73262,08116
36364,06631
34327,06634
24819,01058
73101,08117
21646,03353
73087,08117
34286,06634
73344,08117
97854,09677
25336,01056
97959,08128
92348,09373
19053,13004
95496,09472
85077,09186
85764,09174
80634,09162
85307,09186
85391,09178
85386,09178
80538,09162
39112,15003
06638,15084
95233,09475
85579,09184
85414,09178
92237,09371
83703,09182
06198,15088
95686,09472
84091,09273
83737,09182
85368,09178
92286,09371
07919,14523
39590,15090
93161,09375
06258,15088
83075,09187
85659,09177
84098,09274
83558,09183
16866,12070
83527,09183
14715,15090
83131,09187
93197,09375
06842,15001
14728,12063
06772,15091
04639,16077
04275,14713
08115,14524
04347,14713
04299,14713
08147,14524
14797,12069
92557,09376
84550,09171
08315,14521
09224,14511
83413,09189
93476,09372
94447,09271
09484,14521
94486,09271
17109,13071
18516,13073
94501,09275
14482,12054
94551,09271
94137,09277
09514,14521
18574,13073
18569,13073
09618,14522
94169,09272
17036,13071
10713,11000
10625,11000
12247,11000
09600,14522
94481,09272
99099,16051
86495,09771
90461,09564
90489,09564
82418,09180
86701,09185
19075,13076
91355,09474
95359,09477
06571,16065
82110,09179
29491,03354
91242,09574
06333,15087
01833,14628
16306,12073
01906,14625
02627,14625
15236,12064
03149,12071
02727,14626
94121,09275
94545,09272
03238,12062
01468,14627
17389,13075
01945,12066
17449,13075
55608,07133
55608,07133
49844,03454
49832,03454
25488,01056
25337,01056
24354,01058
89188,08425
97797,09672
88433,08426
24367,01058
37124,03159
97297,09679
24616,01061
24395,01059
74423,08127
22549,02000
21079,02000
97072,09663
97725,09672
31084,03254
24539,01004
97218,09679
89233,09775
97440,09678
24626,01060
22889,01062
24229,01058
36452,16066
21445,03353
24159,01002
23863,01060
21441,03353
29342,03351
87751,09778
22926,01062
97506,09678
38272,03158
97348,09675
23829,01060
97640,09673
21423,03353
87439,09763
89447,09773
21391,03355
22961,01062
23847,01053
87739,09778
99974,16064
91567,09571
91443,09575
22959,01053
87653,09777
64584,06433
65795,06436
68165,08222
61350,06434
68259,08222
32369,05770
72213,08235
60529,06412
68535,08226
64342,06432
78266,08335
27711,03356
32791,05766
33098,05774
78262,08335
69250,08226
63071,06413
61138,06435
34516,06635
63179,06438
28205,04011
25821,01054
74374,08125
25870,01054
28355,04011
78567,08327
25917,01054
69412,08226
21772,03352
63796,09671
71069,08115
25858,01054
71701,08118
70197,08111
78465,08335
71111,08116
63843,09676
36325,06535
72820,08415
70469,08111
70439,08111
25855,01054
63839,09676
63920,09676
74354,08118
63856,09671
63936,09676
24983,01059
63927,09676
72649,08116
72531,08415
24896,01059
24988,01059
31555,03257
36280,06634
25569,01061
73277,08116
49638,03459
55450,07133
79194,08315
77749,08317
79106,08311
48231,05570
76857,07337
27498,01056
57520,07132
57520,07143
56472,07132
79286,08315
65624,07141
76831,07337
65589,06533
77704,08317
65629,07141
79837,08337
65554,06533
65550,06533
76872,07337
49179,03459
65396,06439
76532,08211
77740,08317
26123,03403
76456,08216
35685,06532
35683,06532
49324,03459
26931,03461
77773,08325
61276,06434
78089,08326
76597,08216
67065,07314
36154,06631
97906,09676
24991,01059
97846,09677
88085,08435
25551,01061
36391,06435
97837,09677
97799,09672
97264,09679
51709,05374
44141,05913
66509,07340
56291,07140
67744,07133
56076,07111
66953,07317
79589,08336
49699,03453
56338,07141
56753,07137
56598,07138
55483,07134
26605,03452
06484,15085
82284,09179
91364,09474
99428,16055
91322,09474
07407,16073
96268,09476
91349,09474
39624,15081
91327,09474
85049,09161
82340,09188
82131,09184
91245,09574
82152,09188
91282,09472
93348,09273
85617,09175
85469,09177
39319,15086
07545,16052
84069,09375
18055,13003
93173,09375
83134,09187
84169,09274
84171,09274
06729,15084
93170,09375
83564,09187
83536,09183
92431,09376
08451,14524
93086,09375
04157,14713
93191,09372
08056,14524
92693,09374
83308,09189
93488,09372
93413,09372
94365,09278
84323,09277
09322,14522
94354,09278
83362,09189
08340,14521
09117,14511
09419,14521
04861,14730
94542,09275
18573,13073
14974,12072
94496,09275
94535,09275
94148,09275
14195,11000
14167,11000
09599,14522
14059,11000
94518,09272
13467,11000
10553,11000
10623,11000
94152,09275
12053,11000
54536,07231
45892,05513
45879,05513
53175,05314
56814,07135
53113,05314
48607,05566
55765,07134
53173,05314
42107,05124
42855,05120
53797,05382
44628,05916
44803,05911
56659,07131
47652,05154
52159,05334
52156,05334
52457,05358
47495,05170
66780,10044
54298,07235
41472,05162
54314,07235
47167,05112
40233,05111
41539,05162
54426,07235
50667,05315
45145,05113
54426,07231
66133,10041
85057,09161
99510,16071
85304,09186
83646,09173
83623,09173
80992,09162
07751,16074
95339,09477
85126,09186
07806,16075
93333,09273
85406,09178
85445,09177
85417,09178
95191,09475
18239,13072
06388,15082
06369,15082
95508,09377
06120,15002
93342,09273
98587,16066
23860,01062
38102,03101
38524,03151
23560,01003
38700,03153
91743,09571
87659,09777
38170,03158
96170,09471
23744,01055
98559,16054
23569,01003
86983,09777
21371,03355
91086,09572
98693,16070
96049,09461
38154,03154
38382,03154
86694,09779
86931,09181
82409,09190
96231,09478
90765,09563
99638,16068
82380,09190
12059,11000
10369,11000
94078,09272
12555,11000
01156,14612
01445,14627
15748,12061
01809,14628
01237,14612
17321,13075
02959,14626
02943,14626
02923,14626
39435,15089
91217,09574
83670,09173
80689,09162
80687,09162
85411,09178
39418,15089
95494,09472
07389,16075
19417,13074
85290,09186
82024,09184
92280,09371
95236,09475
06406,15089
95213,09475
39579,15090
84104,09178
95152,09475
39217,15089
85464,09177
85591,09175
93358,09273
83620,09187
19376,13076
85614,09175
82398,09190
91332,09471
86577,09771
82499,09180
82239,09179
29485,03354
86567,09174
06467,15089
82444,09173
86579,09185
96352,09476
19061,13004
06682,15084
06118,15002
18258,13072
83543,09187
06847,15001
18182,13003
06729,15084
95643,09377
84428,09183
04610,16077
84092,09274
84539,09183
04416,14729
92542,09376
83250,09189
83352,09189
93426,09372
83324,09189
83377,09189
04821,14729
18356,13073
93499,09372
09385,14521
84567,09171
16818,12068
94234,09276
93480,09372
09465,14521
14947,12072
94253,09276
94140,09277
09437,14521
94544,09275
09569,14522
94269,09276
14163,11000
14169,11000
94113,09275
18569,13073
12105,11000
94161,09275
13359,11000
12099,11000
10439,11000
12049,11000
25581,01061
21259,03353
25563,01060
74547,08127
37186,03155
30459,03241
30165,03241
36179,06632
25579,01061
30163,03241
73072,08117
36145,06631
24814,01058
30938,03241
24409,01059
31180,03254
97779,09672
24241,01058
29633,03358
20459,02000
20148,02000
37293,06636
89177,08425
22309,02000
89257,09775
87452,09780
24619,01060
87789,09778
73488,08136
98617,16066
91637,09571
31224,03157
23845,01060
87736,09778
86519,09774
87437,09763
87477,09780
91614,09571
99842,16063
98631,16066
22929,01062
22929,01062
21493,01053
38690,03153
37445,03159
35641,06532
68804,08226
61440,06434
26954,03461
25859,01054
32312,05770
65936,06412
33729,05711
72227,08235
25849,01054
64285,06411
33818,05766
60435,06412
60318,06412
35119,06635
74939,08226
78576,08327
32457,05770
72469,08417
25709,01051
72477,08437
34537,06635
71282,08118
72108,08416
21781,03352
32699,05766
74369,08118
25779,01051
25862,01054
74211,08125
21756,03352
21727,03359
72818,08415
25879,01059
63829,09671
72513,08437
25788,01051
31627,03256
31622,03256
31699,03257
24852,01059
88697,08435
37647,03255
71397,08119
34587,06634
88271,08436
73207,08116
25376,01061
25588,01061
21516,01053
86479,09774
96154,09471
86738,09779
97522,09674
23919,01053
21401,03355
86655,09779
23566,01003
19273,03355
86980,09190
86517,09772
86977,09190
96161,09471
96484,09473
38375,03154
38387,03154
38470,03151
86343,09772
86169,09761
29496,03354
90768,09563
86504,09771
91056,09562
99094,16051
91353,09474
91798,09577
86574,09771
91052,09562
91083,09572
96271,09473
54617,07232
52223,05334
52249,05334
47608,05154
54687,07232
52156,05334
54457,07235
46395,05554
54329,07235
46483,05170
50127,05362
54292,07211
50129,05362
66802,10044
54579,07233
54344,07235
40221,05111
47269,05112
40213,05111
40227,05111
45476,05117
54347,07231
50823,05315
50672,05315
56766,07233
48734,05554
50999,05315
66557,10043
66646,10046
51065,05315
45894,05513
42551,05158
53123,05314
42655,05122
79235,08315
79361,08316
56068,07111
55432,07140
67714,07340
56203,07143
67688,07335
56271,07138
79365,08316
66994,07340
67823,07333
57581,07132
12045,11000
12057,11000
13125,11000
12557,11000
12623,11000
01139,14612
01920,14625
01900,14625
03046,12052
02999,14625
03053,12052
02779,14626
02894,14626
66484,07340
44139,05913
56218,07137
57641,07132
58093,05914
48268,05566
66955,07340
79106,08311
57413,05966
57586,07132
57223,05970
56470,07143
65388,06439
77855,08317
56370,07141
77833,08216
77736,08317
77815,08216
55234,07331
79774,08337
97852,09677
21680,03359
24797,01058
34233,06611
73278,08117
34212,06634
97778,09677
24837,01059
97839,09677
71540,08119
36251,06632
88213,08436
97753,09677
65199,06414
59329,05570
79809,08337
49393,03460
67482,07337
77880,08317
78147,08326
67158,07332
67551,07319
65468,06433
42659,05122
66131,10041
51519,05378
56745,07137
42105,05124
66459,10045
44801,05911
53547,07138
58455,05954
53819,05382
56288,07140
56637,07137
58339,05954
06122,15002
95168,09479
84079,09274
93186,09375
92702,09374
06688,15084
18059,13003
83064,09187
92637,09363
93047,09362
08523,14523
92551,09376
04435,14730
83547,09187
16845,12068
17209,13071
06749,15082
08485,14523
18190,13072
04519,14730
04177,14713
93199,09372
84559,09183
17194,13071
08248,14523
04288,14713
06886,15091
04654,14729
18374,13073
84529,09189
17237,13071
09122,14511
14624,12063
94491,09271
94547,09271
09603,14522
14513,12069
13465,11000
10717,11000
09638,14522
10779,11000
15831,12072
01612,14627
17491,13075
12051,11000
13088,11000
12489,11000
12685,11000
12679,11000
12627,11000
01257,14612
01454,14625
01796,14628
17375,13075
01829,14628
01996,12066
03044,12052
15236,12064
15236,12053
03197,12071
15232,12053
02957,14626
59069,05915
57572,07132
55543,07133
67677,07335
79102,08311
57629,07143
79199,08315
57567,07132
55576,07339
59755,05958
49692,03453
49082,03404
57074,05970
79856,08315
59889,05958
52070,05334
54619,07232
52224,05334
47589,05154
47627,05154
52428,05358
54668,07232
46419,05554
41238,05116
54634,07232
54657,07232
54294,07211
54570,07233
54296,07211
50170,05362
54331,07235
47228,05112
54317,07235
54320,07235
53520,07233
53919,05366
40210,05111
40211,05111
45472,05117
48712,05554
45131,05113
54486,07231
42329,05124
48739,05554
66879,07335
44532,05978
67744,07336
59192,05978
56341,07141
48151,05515
56276,07138
79597,08336
51702,05374
79639,08336
67706,07335
57636,07132
56133,07141
67707,07335
67759,07336
67661,07312
58791,05962
57627,07143
79650,08336
79108,08311
67821,07333
57439,05966
49191,03459
79853,08315
35794,06533
65606,06533
26127,03403
67592,07331
55128,07315
59597,05974
67591,07331
67550,07319
78144,08325
79787,08337
78089,08326
78089,08326
53560,07138
44892,05911
56294,07137
44379,05913
56330,07137
59379,05978
56814,07135
42651,05122
56858,07140
45661,05562
26725,03402
56858,07135
56829,07135
91239,09574
23972,13074
82538,09173
91235,09574
92283,09373
06648,15084
95496,09472
07343,16075
81479,09162
85119,09186
80797,09162
82008,09184
07774,16074
39124,15003
84072,09178
95188,09475
95478,09377
82433,09180
06578,16065
91356,09474
99198,16071
91359,09474
91177,09576
99438,16071
82441,09180
23946,13074
82216,09179
06543,15085
82234,09188
23966,13074
23996,13074
95349,09477
39340,15083
73037,08117
73102,08117
74417,08136
74542,08127
22589,02000
97265,09679
21149,02000
88444,08426
37215,06636
21266,03353
37154,03155
22527,02000
89081,09775
89081,08421
21077,02000
37077,03159
22453,02000
97255,09679
36414,16063
24107,01058
97253,09679
20249,02000
21438,03353
22177,02000
22111,02000
24145,01002
97720,09672
22045,02000
31226,03157
36469,16063
