id,score,scLivingspaceSqmPrice,scLotareaSqmPrice,scPurchasePrice,scPricetrend,scCondition,scFiring_type,yearConstructed,lotArea,livingSpace,condition,noRooms,purchasePrice,pricepersqmlivingspace,pricepersqmlotarea
1,0.71,1,1,0.95,0.62,0.7,0,1934,580,65,refurbished,2,545000,8384.615384615385,939.6551724137931
4,0.6,1,1,0.96,0.64,0,0,1953,805,94,need_of_renovation,4.5,525000,5585.106382978724,652.1739130434783
5,0.74,1,1,0.96,0.47,1,0,1982,378,142,first_time_use,5,426800,3005.6338028169016,1129.100529100529
6,0.74,1,1,0.97,0.47,1,0,1981,364,122,first_time_use,4,397480,3258.032786885246,1091.978021978022
7,0.74,1,1,0.97,0.47,1,0,1941,394,131,first_time_use,5,417700,3188.5496183206105,1060.1522842639595
8,0.73,1,1,0.96,0.52,0.9,0,2016,291,184,mint_condition,6,525000,2853.2608695652175,1804.1237113402062
9,0.57,1,1,0.95,0.48,0,0,1932,210,95,need_of_renovation,6,570000,6000,2714.285714285714
10,0.72,1,1,0.97,0.47,0.9,0,2003,169,112,mint_condition,5,379000,3383.9285714285716,2242.603550295858
11,0.67,1,1,0.98,0.43,0.6,0,1949,90,140,well_kept,5,225000,1607.142857142857,2500
12,0.79,1,0.99,0.94,0.82,1,0,2020,66,160,first_time_use,4,684000,4273.6644798500465,10363.636363636364
13,0.67,1,1,0.97,0.43,0.6,0,1995,923,190,well_kept,7,369000,1942.1052631578948,399.783315276273
14,0.79,1,0.99,0.94,0.82,1,0,2020,71,160,first_time_use,4,684000,4274.465691788526,9633.802816901409
15,0.63,1,1,0.99,0.21,0.6,0,1998,241,129,well_kept,5,130000,1004.5591530793602,539.4190871369294
16,0.79,1,0.99,0.95,0.82,1,0,2020,147,142,first_time_use,4,654500,4601.054481546573,4452.380952380952
17,0.79,1,0.99,0.95,0.82,1,0,2020,136,142,first_time_use,4,658000,4625.659050966608,4838.235294117647
18,0.59,1,1,0.96,0.58,0,0,1997,141,89,no_information,3,465000,5223.54527072568,3297.872340425532
19,0.67,1,0.99,0.85,0.2,1,0,2018,292,171,first_time_use,5,1799000,10511.24744376278,6160.958904109589
20,0.79,1,0.99,0.95,0.82,1,0,2020,123,142,first_time_use,4,649000,4566.884807543452,5276.422764227642
21,0.79,1,0.99,0.95,0.82,1,0,2019,93,142,first_time_use,4,642500,4521.145591443248,6908.602150537635
22,0.54,1,1,0.92,0.32,0,0,2001,1827,542,no_information,7,995000,1835.7933579335793,544.6086480569239
24,0.67,1,1,0.83,0.2,1,0,2018,831,188,first_time_use,4,1999000,10599.15164369035,2402.7886291243462
26,0.79,1,0.99,0.95,0.82,1,0,2020,114,142,first_time_use,4,658000,4630.216029836042,5771.929824561404
27,0.56,1,1,0.97,0.39,0,0,2012,601,154,no_information,5,399500,2594.155844155844,664.7254575707154
28,0.79,1,0.99,0.95,0.82,1,0,2019,124,142,first_time_use,4,649000,4562.390158172232,5233.870967741936
29,0.58,1,1,0.92,0.53,0,0,1990,300,158,no_information,6,935000,5917.721518987341,3116.6666666666665
30,0.74,1,1,0.95,0.5,1,0,2020,604,150,first_time_use,6,550000,3666.6666666666665,910.5960264900663
31,0.74,1,1,0.97,0.46,1,0,2020,172,116,first_time_use,5.5,309000,2663.793103448276,1796.5116279069769
32,0.74,1,1,0.97,0.44,1,0,2021,283,126,first_time_use,5.5,398500,3162.6984126984125,1408.1272084805653
33,0.72,1,1,0.9299999999999999,0.41,1,0,2020,330,175,first_time_use,5,838000,4763.528876762165,2539.3939393939395
34,0.57,1,1,0.96,0.45,0,0,2004,149,137,no_information,6,430000,3138.6861313868612,2885.9060402684563
35,0.72,1,1,0.9299999999999999,0.41,1,0,2020,401,195,first_time_use,5,894000,4576.167076167076,2229.426433915212
36,0.74,1,1,0.97,0.46,1,0,2020,180,116,first_time_use,5.5,311000,2681.0344827586205,1727.7777777777778
38,0.65,1,1,0.92,0.28,0.7,0,1800,6633,370,refurbished,11,980000,2648.6486486486488,147.74611789537164
41,0.69,1,1,1,0.56,0.6,0,1981,897,92,well_kept,3,27000,293.4782608695652,30.100334448160535
45,0.68,1,1,0.97,0.43,0.7,0,1929,198,175,refurbished,6,325000,1857.142857142857,1641.4141414141413
46,0.7,1,1,0.97,0.5,0.7,0,1890,345,135,modernized,4,310000,2296.296296296296,898.5507246376811
48,0.72,1,1,0.96,0.47,0.9,0,2017,306,135,mint_condition,5,479900,3554.814814814815,1568.3006535947713
49,0.7,1,1,0.96,0.61,0.6,0,2003,291,174,well_kept,5,498000,2862.0689655172414,1711.340206185567
50,0.73,1,1,0.95,0.7,0.7,0,1951,431,215,refurbished,9,659000,3065.1162790697676,1529.002320185615
51,0.72,1,1,0.96,0.47,0.9,0,2017,306,135,mint_condition,5,479900,3554.814814814815,1568.3006535947713
52,0.59,1,1,0.98,0.55,0,0,1925,1006,144,no_information,6,269000,1868.0555555555557,267.3956262425447
53,0.61,1,1,0.98,0.66,0,0,1966,663,131,need_of_renovation,7,198000,1511.4503816793892,298.6425339366516
55,0.71,1,0.99,0.95,0.4,0.9,0,2018,103,136,mint_condition,5,599000,4404.411764705882,5815.533980582524
56,0.67,1,1,0.97,0.46,0.6,0,1932,365,143,well_kept,6,389000,2720.27972027972,1065.7534246575342
58,0.69,1,1,0.88,0.45,0.8,0,1968,1775,800,fully_renovated,27,1475000,1843.75,830.9859154929577
59,0.68,1,1,0.95,0.44,0.7,0,1948,453,251,modernized,12,588000,2342.629482071713,1298.0132450331125
60,0.56,1,1,0.97,0.41,0,0,2020,145,103,no_information,4,385000,3737.864077669903,2655.1724137931033
61,0.57,1,1,0.96,0.44,0,0,1959,680,570,need_of_renovation,26,450000,789.4736842105264,661.7647058823529
63,0.6,1,1,0.98,-0.1,0.7,0,1920,992,149,refurbished,3,210000,1409.3959731543623,211.69354838709677
64,0.62,1,1,0.98,0.72,0,0,1951,492,142,need_of_renovation,5,259000,1823.943661971831,526.4227642276422
65,0.56,1,1,0.95,0.38,0,0,2019,313,144,no_information,5,629000,4368.055555555556,2009.5846645367412
66,0.65,1,1,0.96,0.22,0.7,0,2020,453,280,modernized,7,519000,1853.5714285714287,1145.6953642384105
67,0.67,1,1,0.97,0.33,0.7,0,1969,202,160,refurbished,5,375000,2343.75,1856.4356435643565
68,0.68,1,1,0.94,0.54,0.6,0,1987,348,180,well_kept,7,695000,3861.1111111111113,1997.1264367816093
69,0.62,1,1,0.96,0.16,0.6,0,1998,573,125,well_kept,4,458000,3664,799.3019197207678
70,0.7,1,1,0.98,0.3,0.9,0,1932,200,130,first_time_use_after_refurbishment,5,215000,1653.8461538461538,1075
71,0.56,1,1,0.97,0.39,0,0,1991,393,127,need_of_renovation,5,315000,2480.314960629921,801.5267175572519
73,0.67,1,1,1,0.4,0.6,0,1978,600,46,well_kept,2,50000,1086.9565217391305,83.33333333333333
74,0.65,1,1,0.95,0.36,0.6,0,2006,786,175,well_kept,5,555000,3171.4285714285716,706.1068702290077
75,0.73,1,1,0.96,0.4,1,0,2021,355,136,first_time_use,5.5,519900,3822.794117647059,1464.5070422535211
76,0.73,1,1,0.96,0.4,1,0,2021,237,136,first_time_use,5.5,474900,3491.9117647058824,2003.7974683544303
77,0.6,1,0.98,0.96,0.65,0,0,2021,43,97,no_information,4,482000,4928.929338378157,11149.66458477909
78,0.6,1,0.96,0.96,0.65,0,0,2021,18,96,no_information,4,469000,4852.560786342473,25502.990755845567
79,0.74,1,1,0.97,0.45,1,0,2020,190,106,first_time_use,4,399900,3772.6415094339623,2104.7368421052633
80,0.66,1,1,0.71,0.38,0.9,0,2021,1326,800,mint_condition,15,3500000,4371.994253950409,2639.517345399698
81,0.73,1,1,0.92,0.46,1,0,2020,289,179,first_time_use,5,945000,5279.329608938548,3269.8961937716263
83,0.56,1,1,0.99,0.37,0,0,1940,310,133,need_of_renovation,5,85000,639.0977443609023,274.19354838709677
84,0.66,1,1,0.98,0.39,0.6,0,1804,216,300,well_kept,10,289000,963.3333333333334,1337.962962962963
85,0.72,1,1,0.95,0.46,0.9,0,1923,268,145,mint_condition,4,615000,4241.379310344828,2294.776119402985
86,0.68,1,1,0.94,0.54,0.6,0,1963,263,123,well_kept,4.5,695000,5622.067626597638,2642.5855513307984
87,0.55,1,1,0.9299999999999999,0.38,0,0,1977,432,143,no_information,4,794000,5552.447552447553,1837.962962962963
88,0.62,1,1,0.98,0.75,0,0,1930,1179,110,no_information,4,210000,1909.090909090909,178.11704834605598
90,0.72,1,1,0.97,0.63,0.7,0,1983,388,110,modernized,4,379000,3445.4545454545455,976.8041237113403
91,0.72,1,1,0.97,0.36,1,0,2020,466,136,first_time_use,5,343700,2527.205882352941,737.5536480686695
92,0.72,1,1,0.97,0.36,1,0,2020,260,136,first_time_use,5,332750,2446.6911764705883,1279.8076923076924
93,0.69,1,1,0.96,0.47,0.7,0,1986,330,120,modernized,5,450000,3750,1363.6363636363637
94,0.64,1,1,0.97,0.26,0.6,0,1906,2000,300,well_kept,10,360000,1200,180
95,0.72,1,1,0.97,0.36,1,0,2020,355,174,first_time_use,6,348800,2004.5977011494253,982.5352112676056
96,0.6,1,1,0.99,0.59,0,0,1848,4500,190,no_information,9,140000,736.8421052631579,31.11111111111111
97,0.49,1,1,1,-0.04,0,0,1930,923,164,need_of_renovation,7,38000,231.70731707317074,41.17009750812568
98,0.68,1,1,0.9299999999999999,0.55,0.6,0,2006,970,200,well_kept,7,785000,3925,809.2783505154639
