id,pricetrend,pricetrendbuy,lotArea,yearConstructed,firingTypes,livingSpace,geoplz,condition,noRooms,immotype,purchasePrice,telekomUploadSpeed,telekomDownloadSpeed,lat,lon,pricepersqmlivingspace,pricepersqmlotarea
1,11.35,11.35,580,1934,gas,65,12357,refurbished,2,haus_kauf,545000,40 MBit/s,100 MBit/s,13.4880637,52.4261373,8384.615384615385,939.6551724137931
2,13.4,13.4,781,,,130,15838,no_information,5,haus_kauf,311905,40 MBit/s,100 MBit/s,13.369749840013403,52.1478116,2399.269230769231,399.36619718309856
3,13.4,13.4,781,,,140,15838,no_information,5,haus_kauf,321105,40 MBit/s,100 MBit/s,13.369749840013403,52.1478116,2293.6071428571427,411.14596670934696
4,11.63,11.63,805,1953,gas,94,13505,need_of_renovation,4.5,haus_kauf,525000,40 MBit/s,100 MBit/s,13.2268013,52.5905693,5585.106382978724,652.1739130434783
5,8.65,8.65,378,,no_information,142,31275,first_time_use,5,haus_kauf,426800,"2,4 MBit/s",16 MBit/s,10.0692364,52.3952577,3005.6338028169016,1129.100529100529
6,8.65,8.65,364,,no_information,122,31275,first_time_use,4,haus_kauf,397480,"2,4 MBit/s",16 MBit/s,10.0692364,52.3952577,3258.032786885246,1091.978021978022
7,8.65,8.65,394,,no_information,131,31275,first_time_use,5,haus_kauf,417700,"2,4 MBit/s",16 MBit/s,10.0692364,52.3952577,3188.5496183206105,1060.1522842639595
8,9.52,9.52,291,2016,gas,184,63456,mint_condition,6,haus_kauf,525000,"2,4 MBit/s",16 MBit/s,8.933998201182332,50.0998442,2853.2608695652175,1804.1237113402062
9,8.69,8.69,210,1932,no_information,95,70376,need_of_renovation,6,haus_kauf,570000,40 MBit/s,100 MBit/s,9.204246073104867,48.8118816,6000,2714.285714285714
10,8.49,8.49,169,2003,gas,112,47229,mint_condition,5,haus_kauf,379000,40 MBit/s,100 MBit/s,6.710121684458152,51.3831336,3383.9285714285716,2242.603550295858
11,7.77,7.77,90,1949,gas,140,46399,well_kept,5,haus_kauf,225000,40 MBit/s,100 MBit/s,6.614255022046352,51.84057815,1607.142857142857,2500
12,14.88,14.88,66,2020,district_heating,160,13088,first_time_use,4,haus_kauf,684000,,,13.4738355,52.5635681,4273.6644798500465,10363.636363636364
