id,score,rentMargin,priceSqm,heating,condition,lat,lon
1,0.53,0.7,0.07,0.33,0.6,51.4926078,7.5479604
2,0.69,0.81,0.11,0.33,1,51.4534596,7.4569612
3,0.52,0.72,0.06,0,0.9,51.0125849,11.3412832
4,0.56,0.82,0.1,0,0.9,51.5331826,9.9268353
5,0.63,0.81,0.11,0.33,0.8,53.5524661,10.0921048
7,0.9,0.77,0.26,1,0.9,50.0173618,8.451588
8,0.46,0.73,0.05,0,0.7,51.0877219,14.6707162
9,0.51,0.66,0.04,0.33,0.6,51.2977152,14.4537809
10,0.57,0.76,0.06,0.33,0.7,51.420445,12.0076739
11,0.63,0.84,0.08,0.33,0.8,52.3546317,14.0560797
12,0.51,0.67,0.04,0.33,0.6,50.8039926,12.7021789
13,0.59,0.84,0.13,0.33,0.6,50.1667565,8.6324953
14,0.53,0.74,0.08,0,0.9,53.6471319,11.3773934
15,0.54,0.76,0.05,0.33,0.6,50.8207356,12.9275324
16,0.64,0.91,0.12,0.33,0.7,52.5529925,13.4485533
17,0.49,0.83,0.06,0,0.7,51.5595415,11.4970295
18,0.56,0.8,0.08,0.33,0.6,50.0170382,8.423159
19,0.62,0.85,0.12,0.33,0.7,50.1419572,8.6836807
20,0.65,0.8,0.06,0.66,0.6,51.2457561,7.1502827
21,0.57,0.74,0.07,0.33,0.7,51.3526141,12.2976425
22,0.96,0.88,0.24,1,1,52.5079919,13.4141489
23,0.56,0.71,0.05,0.33,0.7,50.887612,12.0740659
24,0.64,0.9,0.18,0,1,52.5359638,13.3574419
27,0.57,0.76,0.04,0.33,0.7,50.8145466,12.9133434
28,0.63,0.72,0.06,0.66,0.6,51.4261537,6.8733363
29,0.54,0.76,0.06,0.33,0.6,50.8055432,6.245381
30,0.7,0.93,0.11,0.33,0.9,48.7565276,8.242673
31,0.44,0.75,0.06,0.33,0.3,48.1028016,8.7415262
33,0.62,0.8,0.08,0.33,0.8,50.3582191,8.7277172
34,0.57,0.76,0.07,0.33,0.7,51.0761184,13.7227265
35,0.62,0.75,0.11,0.33,0.8,51.3209705,9.5028128
36,0.57,0.81,0.12,0,0.9,52.4215613,13.5735035
37,0.77,0.82,0.08,0.66,0.9,50.7745898,6.0960922
38,0.42,0.73,0.05,0,0.6,51.4876465,9.142526
39,0.65,0.81,0.09,0.33,0.9,52.0253731,8.5530965
40,0.57,0.8,0.1,0.33,0.6,49.4795421,8.4944148
41,0.64,0.81,0.12,0.33,0.8,50.1480238,8.6660641
42,0.58,0.7,0.06,0.33,0.8,52.44198,12.521683
43,0.54,0.79,0.05,0.33,0.6,51.1445596,12.6520031
44,0.44,0.65,0.07,0,0.7,52.5382192,13.5688678
45,0.54,0.7,0.05,0.33,0.7,51.4603489,12.6346437
46,0.44,0.75,0.05,0.33,0.3,51.5659043,7.503723
47,0.68,0.8,0.04,0.66,0.7,51.300599,13.3127064
49,0.56,0.79,0.08,0.33,0.6,52.1376436,11.6523713
50,0.59,0.72,0.05,0.33,0.8,50.8624984,13.9442497
51,0.59,0.69,0.08,0.33,0.8,51.0713838,13.7506968
52,0.65,0.89,0.1,0.33,0.8,53.5403964,10.0955012
53,0.53,0.76,0.04,0.33,0.6,50.3096958,12.3071209
54,0.59,0.69,0.12,0.33,0.8,51.3202391,9.5057976
55,0.57,0.8,0.09,0.33,0.6,51.0784127,13.6909411
57,0.54,0.83,0.12,0,0.8,54.3280725,10.1180628
58,0.49,0.8,0.09,0,0.7,52.5687413,13.5206057
59,0.59,0.8,0.07,0.33,0.7,54.8153598,9.4701459
60,0.59,0.91,0.1,0.33,0.6,51.8363791,6.6154795
61,0.86,0.72,0.07,1,1,51.9514648,8.4993673
62,0.65,0.82,0.07,0.33,0.9,52.5490699,13.5832926
64,0.51,0.67,0.05,0.33,0.6,51.656796,7.3314961
66,0.51,0.65,0.06,0.33,0.6,51.3610367,7.475945
67,0.57,0.76,0.05,0.33,0.7,51.2922509,14.82227
68,0.43,0.75,0.05,0,0.6,51.5820927,6.9589278
69,0.59,0.85,0.06,0.33,0.7,51.8816307,10.5598295
70,0.59,0.75,0.05,0.33,0.8,52.5957433,11.8574235
71,0.54,0.66,0.05,0.33,0.7,50.8145466,12.9133434
72,0.77,0.87,0.07,0.66,0.9,51.8798764,10.5626489
73,0.54,0.9,0.16,0,0.7,53.5558565,10.0622278
75,0.64,0.76,0.11,0.33,0.9,52.4247325,13.0513279
76,0.32,0.66,0.05,0.33,0,51.6751957,6.6296576
77,0.54,0.8,0.04,0.33,0.6,51.82363,9.4666806
78,0.59,0.73,0.06,0.33,0.8,51.4667836,12.6588606
79,0.68,0.86,0.11,0.33,0.9,50.0293572,9.2649203
80,0.57,0.81,0.08,0.33,0.6,47.7221031,7.7750527
81,0.56,0.81,0.05,0.33,0.6,50.8404788,12.7738102
82,0.47,0.66,0.04,0,0.8,51.1609546,14.9820718
83,0.48,0.9,0.05,0,0.6,51.8387222,12.244844
84,0.48,0.86,0.11,0,0.6,51.2974,6.8583366
85,0.57,0.74,0.06,0.33,0.7,51.866967,12.6353399
86,0.81,0.9,0.16,0.66,0.9,51.2218878,6.7914518
87,0.68,0.89,0.18,0.33,0.8,48.0942937,11.5049334
89,0.64,0.76,0.05,0.66,0.6,51.2975585,7.6934988
90,0.54,0.75,0.08,0.33,0.6,50.7913047,7.2048859
92,0.41,0.68,0.05,0,0.6,50.8027355,12.8983738
94,0.51,0.65,0.05,0.33,0.6,50.7164596,12.4855658
96,0.53,0.64,0.06,0.33,0.7,52.1279341,11.6538463
97,0.81,0.9,0.15,1,0.6,53.5571326,9.8995761
98,0.52,0.72,0.04,0.33,0.6,52.130905,8.7020871
99,0.62,0.83,0.12,0.33,0.7,51.0767324,6.777757
100,0.59,0.93,0.11,0,0.9,52.1399506,11.6302685
101,0.68,0.77,0.08,0.33,1,51.6747074,8.347194
102,0.54,0.7,0.05,0.33,0.7,50.8575417,13.10644
103,0.6,0.82,0.1,0.33,0.7,49.6987985,8.621802
104,0.52,0.7,0.05,0.33,0.6,51.9617334,13.7462274
105,0.52,0.69,0.05,0.33,0.6,50.8800114,12.1004629
106,0.74,0.77,0.05,0.66,0.9,51.5955817,7.441304
107,0.54,0.66,0.05,0.33,0.7,51.0454264,12.1235725
108,0.56,0.82,0.05,0.33,0.6,52.2436034,11.6766426
109,0.57,0.8,0.12,0.33,0.6,50.0827006,8.4330288
110,0.72,0.85,0.12,0.66,0.7,50.2393053,8.6066352
111,0.52,0.71,0.04,0.33,0.6,50.169947,12.1234714
113,0.7,0.74,0.06,0.66,0.8,52.3020358,9.4695086
114,0.67,0.8,0.08,0.66,0.6,51.5699599,8.1163531
115,0.49,0.63,0.06,0,0.9,49.1893347,7.6188214
116,0.53,0.66,0.04,0.33,0.7,50.6256045,12.2901952
117,0.49,0.63,0.04,0.33,0.6,50.8456078,13.0793864
118,0.95,0.91,0.16,1,1,52.5305672,13.3830713
119,0.44,0.7,0.05,0,0.7,50.833265,12.9478875
120,0.54,0.74,0.08,0.33,0.6,51.3446221,6.9486876
121,0.53,0.71,0.07,0.33,0.6,51.5367656,7.6411714
122,0.53,0.74,0.06,0.33,0.6,51.4303043,7.0777033
123,0.59,0.85,0.06,0.33,0.7,51.3667305,12.7397849
124,0.44,0.76,0.08,0,0.6,52.1396928,11.6134595
125,0.59,0.83,0.05,0.33,0.7,51.0584724,12.1259038
126,0.88,0.9,0.04,1,0.9,51.710209,8.74689
127,0.59,0.84,0.05,0.33,0.7,51.4922004,7.0740254
128,0.64,0.87,0.06,0.33,0.8,51.3065965,12.2609016
129,0.68,0.87,0.1,0.33,0.9,52.4468093,10.0088195
130,0.59,0.81,0.08,0.33,0.7,51.493331,7.4416576
131,0.46,0.78,0.05,0.66,0,51.4138031,9.6507972
133,0.51,0.66,0.04,0.33,0.6,50.8507213,12.952399
134,0.68,0.82,0.13,0.33,0.9,50.7294355,7.1263694
135,0.48,0.89,0.06,0,0.6,51.8317837,12.2486047
136,0.57,0.83,0.07,0.33,0.6,48.6995302,9.6510146
137,0.69,0.81,0.05,0.66,0.7,51.3462388,9.8565828
138,0.54,0.77,0.06,0.33,0.6,51.5695537,7.0816753
139,0.56,0.78,0.08,0.33,0.6,53.7522839,9.6546637
140,0.89,0.87,0.13,1,0.9,48.8689615,9.2268794
141,0.54,0.76,0.05,0.33,0.6,50.9555931,13.9612707
142,0.69,0.81,0.08,0.66,0.7,52.4491092,13.3818395
144,0.88,0.85,0.1,1,0.9,52.4224222,10.801777
145,0.46,0.51,0.04,0.33,0.6,51.2989024,7.71158
146,0.43,0.64,0.05,0,0.7,51.1924386,11.9702
147,0.64,0.86,0.11,0.33,0.8,53.5358891,10.1110688
148,0.72,0.87,0.11,0.33,1,51.0497412,13.7297544
149,0.52,0.8,0.07,0,0.8,52.0754382,8.5515172
150,0.57,0.82,0.11,0.33,0.6,50.2383092,8.5900851
151,0.56,0.71,0.05,0.33,0.7,50.6206866,12.5179787
152,0.44,0.79,0.06,0,0.6,51.522563,7.0890444
155,0.58,0.81,0.13,0.33,0.6,50.9358244,6.9419024
156,0.49,0.53,0.05,0.33,0.7,50.9919575,10.3098948
157,0.85,0.77,0.1,1,0.9,52.3107685,9.8028955
158,0.68,0.88,0.07,0.33,0.9,52.5300844,11.4135719
160,0.57,0.73,0.06,0.33,0.7,51.3310114,12.4113337
161,0.57,0.83,0.09,0.33,0.6,51.2519491,6.798325
162,0.58,0.88,0.08,0.33,0.6,52.4884683,13.3021344
164,0.65,0.84,0.05,0.33,0.9,51.1893182,10.4428708
165,0.57,0.74,0.06,0.33,0.7,50.9812353,11.0216018
166,0.86,0.84,0.08,1,0.9,49.5895962,10.6379823
168,0.59,0.9,0.09,0.33,0.6,52.4474432,13.5927957
169,0.44,0.81,0.05,0,0.6,54.3045154,13.0489688
170,0.53,0.74,0.06,0.33,0.6,51.372372,12.3427206
171,0.62,0.82,0.05,0.33,0.8,51.0421997,13.6781271
172,0.56,0.78,0.09,0.33,0.6,51.212388,6.7825619
173,0.57,0.84,0.09,0.33,0.6,50.9467108,6.8364333
174,0.68,0.83,0.12,0.33,0.9,49.1196761,9.1511074
175,0.59,0.82,0.05,0.33,0.7,50.8481968,12.9374978
176,0.44,0.8,0.04,0,0.6,53.117373,12.1019174
177,0.57,0.65,0.05,0.33,0.8,51.1636927,13.4792711
178,0.49,0.67,0.05,0,0.9,50.9469228,11.0824793
180,0.54,0.76,0.08,0.33,0.6,48.3695751,10.8926402
181,0.58,0.71,0.05,0.33,0.8,50.8516526,12.4619318
182,0.73,0.71,0.06,1,0.6,48.9029617,12.6643393
183,0.63,0.71,0.06,0.66,0.6,51.343524,6.5570399
184,0.57,0.81,0.1,0.33,0.6,52.5361265,13.2735119
185,0.72,0.89,0.2,0.33,0.9,48.2744124,11.9185429
186,0.59,0.73,0.06,0.33,0.8,50.9918009,13.6364637
188,0.65,0.81,0.06,0.66,0.6,51.5149211,7.1469454
190,0.44,0.76,0.06,0,0.6,51.3980898,6.7108655
192,0.67,0.87,0.15,0.33,0.8,49.4099064,8.6847209
193,0.52,0.69,0.04,0.33,0.6,50.8508327,12.9434094
194,0.78,0.88,0.18,0.66,0.8,48.7885293,9.1914406
195,0.64,0.76,0.05,0.66,0.6,51.668951,7.1036139
196,0.64,0.88,0.05,0.33,0.8,51.3073087,12.2659675
197,0.54,0.68,0.06,0.33,0.7,52.1255017,11.6161841
198,0.72,0.67,0.07,1,0.6,51.4260702,6.7706701
199,0.53,0.72,0.08,0.33,0.6,51.2686247,6.8684136
200,0.62,0.74,0.04,0.33,0.9,50.5033803,12.1646968
202,0.54,0.67,0.04,0.33,0.7,50.837782,12.054925
203,0.57,0.78,0.15,0.33,0.6,50.1165597,8.6905983
205,0.44,0.69,0.06,0,0.7,51.5222297,11.9568146
206,0.57,0.73,0.09,0.33,0.7,51.2543791,6.7005439
207,0.86,0.79,0.12,1,0.9,51.2317495,6.7892702
208,0.59,0.87,0.11,0.33,0.6,47.6848087,9.6466214
209,0.8,0.84,0.07,1,0.7,52.0810029,13.1813938
210,0.65,0.82,0.05,0.66,0.6,51.5745293,7.3046667
211,0.52,0.69,0.06,0.33,0.6,50.4336112,7.8204009
212,0.49,0.88,0.11,0.33,0.3,52.3874269,12.9508581
213,0.7,0.87,0.1,0.33,1,48.5763462,13.4744515
215,0.52,0.71,0.05,0.33,0.6,50.8377139,12.896966
216,0.51,0.66,0.05,0.33,0.6,50.8359045,12.8913222
217,0.53,0.71,0.06,0.33,0.6,53.0995306,9.3780172
218,0.93,0.89,0.11,1,1,53.6649624,9.7930181
221,0.6,0.66,0.05,0.33,0.9,51.4930913,7.0102945
223,0.64,0.83,0.12,0.33,0.8,50.0872935,8.2316678
224,0.52,0.71,0.05,0.33,0.6,51.0582225,13.2997309
227,0.89,0.84,0.13,1,0.9,51.3396549,12.3717469
228,0.79,0.79,0.05,1,0.7,51.3621566,12.3547878
229,0.75,0.81,0.07,0.66,0.9,51.4298464,7.4459583
231,0.48,0.7,0.06,0,0.8,51.3935959,6.7534786
232,0.46,0.8,0.07,0,0.6,51.4641014,7.009595
233,0.54,0.67,0.05,0.33,0.7,51.7872418,14.3536219
234,0.46,0.82,0.06,0,0.6,51.2477347,14.1422771
235,0.54,0.77,0.07,0.33,0.6,49.7157587,11.0970175
236,0.58,0.78,0.07,0.33,0.7,52.2881225,8.9011381
237,0.59,0.8,0.1,0.33,0.7,51.3477308,12.3746536
238,0.54,0.78,0.04,0.33,0.6,51.1322404,11.7146466
240,0.91,0.83,0.11,1,1,48.3931775,10.8392642
241,0.64,0.89,0.14,0.33,0.7,50.9369064,6.908634
242,0.48,0.8,0.05,0,0.7,52.141827,14.6525861
243,0.51,0.85,0.08,0,0.7,51.4985708,11.9611107
245,0.54,0.74,0.07,0.33,0.6,51.3203604,12.3258202
246,0.52,0.7,0.06,0,0.9,51.4756096,6.8637055
247,0.49,0.64,0.04,0.33,0.6,50.7379719,13.5366383
248,0.93,0.88,0.13,1,1,47.9825419,8.8221386
249,0.49,0.64,0.04,0.33,0.6,51.1143767,13.0532811
250,0.64,0.77,0.06,0.66,0.6,51.1942762,7.2250862
251,0.44,0.76,0.09,0,0.6,52.6180752,13.4877794
252,0.48,0.8,0.05,0,0.7,52.8552544,11.1435069
253,0.51,0.76,0.09,0,0.8,50.7783494,6.0864831
255,0.64,0.8,0.14,0.33,0.8,50.095051,8.2684361
256,0.44,0.69,0.06,0,0.7,51.4594071,11.9472872
257,0.44,0.72,0.03,0,0.7,50.9927886,13.6469154
259,0.54,0.75,0.07,0.33,0.6,51.4940879,11.9815328
260,0.58,0.85,0.1,0.33,0.6,53.5928864,9.4838823
262,0.53,0.66,0.04,0.33,0.7,51.7908735,14.3512003
263,0.6,0.7,0.04,0.33,0.9,51.8556878,11.5901087
266,0.53,0.74,0.06,0,0.9,53.3167315,13.8623708
267,0.77,0.84,0.07,0.66,0.9,53.8738554,8.6831552
268,0.62,0.7,0.06,0.33,0.9,51.3570042,6.6861651
269,0.59,0.87,0.11,0.33,0.6,49.9271775,8.1522313
270,0.65,0.92,0.16,0.33,0.7,48.1543639,11.5114149
271,0.53,0.71,0.06,0.33,0.6,51.4742329,6.8989132
272,0.59,0.83,0.1,0,1,52.3006665,8.0772474
273,0.64,0.77,0.06,0.66,0.6,51.668951,7.1036139
274,0.52,0.72,0.06,0,0.9,50.9514168,10.6860212
275,0.58,0.79,0.05,0.33,0.7,49.1738944,6.8088815
276,0.58,0.78,0.06,0.33,0.7,51.6291694,7.3250704
277,0.52,0.68,0.05,0.33,0.6,51.3037908,13.2670712
278,0.53,0.72,0.05,0.33,0.6,49.2769893,6.8759828
279,0.52,0.69,0.06,0.33,0.6,52.1227978,11.6199402
281,0.54,0.77,0.06,0.33,0.6,51.4472975,6.9780189
283,0.69,0.87,0.12,0.33,0.9,53.5849125,10.1001948
284,0.63,0.85,0.15,0.33,0.7,48.1174309,11.5875401
285,0.6,0.9,0.04,0.33,0.7,51.2643106,11.4148169
286,0.49,0.62,0.05,0.33,0.6,51.5246877,6.756017
287,0.62,0.91,0.14,0.33,0.6,48.0045243,7.8629728
288,0.48,0.71,0.05,0,0.8,50.8053253,12.8791578
289,0.58,0.69,0.05,0.33,0.8,51.4684845,11.9695199
290,0.58,0.89,0.1,0,0.9,53.600512,9.8381444
292,0.52,0.73,0.04,0,0.9,51.3367349,9.5446861
293,0.22,0.64,0.06,0,0,52.3975078,13.0802401
294,0.62,0.81,0.05,0.33,0.8,51.3771918,12.3601272
295,0.57,0.87,0.06,0.33,0.6,51.3161479,12.2578624
296,0.68,0.79,0.04,0.66,0.7,51.300599,13.3127064
297,0.85,0.78,0.08,1,0.9,49.3059487,6.7396532
298,0.51,0.67,0.05,0.33,0.6,51.4648863,6.7619588
300,0.58,0.81,0.05,0.33,0.7,53.9078548,11.4248792
301,0.54,0.66,0.06,0.33,0.7,53.4191745,11.8417439
302,0.44,0.67,0.05,0,0.7,50.8147998,12.9586719
304,0.75,0.89,0.1,0.66,0.8,52.5485318,13.3834373
305,0.49,0.85,0.14,0,0.6,52.5053811,13.3339957
306,0.58,0.85,0.1,0.33,0.6,50.8024516,8.7414325
308,0.48,0.69,0.06,0,0.8,50.9078315,13.3326601
309,0.62,0.8,0.09,0.33,0.8,51.355417,12.3658042
310,0.54,0.68,0.05,0.33,0.7,51.898768,11.0457982
311,0.84,0.74,0.1,1,0.9,52.6175806,13.41655
313,0.59,0.71,0.06,0.33,0.8,50.3222297,7.7327398
314,0.51,0.66,0.04,0.33,0.6,50.8377139,12.896966
315,0.63,0.82,0.1,0.33,0.8,52.4355958,9.8477162
316,0.51,0.68,0.04,0.33,0.6,50.7608766,12.7091542
319,0.59,0.85,0.05,0.33,0.7,52.5951335,11.8659646
320,0.51,0.66,0.04,0.33,0.6,51.1143767,13.0532811
321,0.54,0.75,0.09,0.33,0.6,50.7636867,6.9600774
322,0.85,0.8,0.06,1,0.9,51.0581764,6.0921958
323,0.54,0.66,0.05,0.33,0.7,53.5306826,8.5895995
324,0.59,0.83,0.05,0.33,0.7,50.9221957,12.0481944
326,0.41,0.67,0.04,0,0.6,50.831819,12.9519151
327,0.4,0.65,0.04,0,0.6,50.8027355,12.8983738
328,0.93,0.87,0.13,1,1,51.3204261,12.3829099
329,0.62,0.69,0.06,0.33,0.9,51.0927086,6.5810376
330,0.59,0.8,0.07,0.33,0.7,50.2690877,10.9563523
332,0.52,0.71,0.05,0.33,0.6,52.1652572,11.478015
333,0.52,0.69,0.05,0.33,0.6,50.9785617,13.1134591
334,0.7,0.76,0.06,0.66,0.8,52.313047,7.939477
335,0.56,0.8,0.07,0.33,0.6,51.3258192,6.5414841
336,0.52,0.69,0.06,0.33,0.6,51.1941255,13.50681
337,0.59,0.83,0.05,0.33,0.7,52.8487356,11.1633572
338,0.44,0.71,0.05,0,0.7,51.5492417,14.3877912
339,0.52,0.7,0.06,0,0.9,50.9492309,10.6863678
340,0.69,0.85,0.13,0.66,0.6,48.0753738,11.971637
341,0.54,0.69,0.05,0.33,0.7,52.0984299,11.6205021
342,0.6,0.79,0.05,0.33,0.8,51.0482221,13.6553834
343,0.43,0.65,0.06,0,0.7,51.3856574,12.3705671
344,0.53,0.75,0.04,0.33,0.6,52.1687794,11.4037302
345,0.89,0.82,0.16,1,0.9,52.5113273,13.4017207
346,0.59,0.84,0.07,0.33,0.7,51.3045605,12.3137814
347,0.48,0.79,0.08,0,0.7,51.3231764,12.3736915
349,0.59,0.76,0.14,0,1,51.4953781,6.798481
350,0.52,0.81,0.05,0,0.8,51.0216372,11.5088658
351,0.59,0.72,0.08,0.33,0.8,50.8235234,8.1164902
353,0.77,0.9,0.11,0.66,0.8,51.8799771,10.5602601
354,0.57,0.75,0.07,0.33,0.7,49.7463649,8.1050192
355,0.6,0.76,0.07,0.33,0.8,51.3136742,12.4704339
356,0.59,0.8,0.1,0,1,53.5470809,8.5733262
357,0.59,0.71,0.06,0.33,0.8,50.917169,13.3500012
358,0.65,0.88,0.22,0.33,0.7,52.5325995,13.3988888
359,0.43,0.67,0.03,0,0.7,51.7417729,13.9399545
360,0.88,0.8,0.13,1,0.9,51.2342255,6.8220963
361,0.52,0.67,0.06,0.33,0.6,52.0721764,8.4583649
362,0.65,0.83,0.05,0.33,0.9,51.1060319,10.6449422
363,0.56,0.7,0.06,0.33,0.7,50.810406,12.9022221
364,0.47,0.75,0.09,0,0.7,52.5507254,13.1651549
365,0.88,0.77,0.08,1,1,52.3053346,10.2329327
366,0.53,0.74,0.06,0.33,0.6,51.3380935,12.4749768
367,0.59,0.83,0.11,0,1,53.6308396,11.4130481
